		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	LABELS	Wheat/Baseline	Oranges	Grapes	Lettuce	Cotton_lint	Onions_dry	Grapefruit	Cabbages	Watermelons	Carrots_turnips	Peaches_nectarines
												
instrument_orig			0.00864	0.00826	0.00896	0.00870	0.00900	0.00909	0.00945	0.00794	0.01031	0.00961
			(0.00303)	(0.00322)	(0.00310)	(0.00309)	(0.00314)	(0.00321)	(0.00327)	(0.00289)	(0.00351)	(0.00300)
instrument		0.00909	-0.01977	0.04829	-0.07371	-0.03456	-0.09759	-0.00588	-0.08000	-0.34902	-0.22736	0.17813
		(0.00322)	(0.01960)	(0.03094)	(0.10535)	(0.04588)	(0.15061)	(0.08511)	(0.07137)	(0.20577)	(0.13532)	(0.17234)
												
Observations		4,089	4,089	4,089	4,089	4,089	4,089	4,089	4,089	4,089	4,089	4,089
R-squared		0.52549	0.52578	0.52571	0.52560	0.52561	0.52559	0.52549	0.52567	0.52646	0.52595	0.52564
Robust standard errors in parentheses												
